Date,Open,High,Low,Close,Adj Close,Volume
2024-08-01,1640.050049,1655.500000,1636.099976,1640.550049,1640.550049,1785188
2024-08-02,1620.050049,1639.000000,1601.150024,1609.300049,1609.300049,1692851
2024-08-05,1575.000000,1595.699951,1537.000000,1562.400024,1562.400024,3279717
2024-08-06,1563.000000,1605.000000,1563.000000,1582.750000,1582.750000,2138704
2024-08-07,1605.000000,1615.000000,1590.000000,1594.599976,1594.599976,1897787
2024-08-08,1597.000000,1602.000000,1554.550049,1557.849976,1557.849976,2373805
2024-08-09,1584.900024,1602.000000,1575.849976,1589.949951,1589.949951,2021762
2024-08-12,1590.000000,1600.500000,1573.849976,1585.250000,1585.250000,1273739
2024-08-13,1578.000000,1608.400024,1577.650024,1592.650024,1592.650024,1973825
2024-08-14,1600.099976,1629.750000,1598.250000,1626.150024,1626.150024,3932148
2024-08-16,1635.000000,1674.000000,1632.699951,1668.250000,1668.250000,3101056
2024-08-19,1665.000000,1685.000000,1659.050049,1678.500000,1678.500000,1631905
